debut,fn,group,order
2022/11/24,pm25.fTSHIRT_02,Pikachu_t02
2022/11/24,pm25.fFLYING_02,Pikachu_f02
2022/12/31,pm25.cJAN_2023_NOEVOLVE,Pikachu_j23
2022/12/31,pm25.cGOTOUR_2023_HAT,Pikachu_gotour_hat
2022/12/31,pm25.cGOTOUR_2023_BANDANA,Pikachu_gotour_bandana
2023/04/04,pm25.cSPRING_2023,Pikachu_23s
2023/07/28,pm25.fJEJU,Pikachu_23j
2023/08/04,pm25.fSUMMER_2023_E,Pikachu_23sun
2023/08/04,pm25.fSUMMER_2023_A,Pikachu_23sun
2023/08/04,pm25.fSUMMER_2023_B,Pikachu_23sun
2023/08/04,pm25.fSUMMER_2023_C,Pikachu_23sun
2023/08/04,pm25.fSUMMER_2023_D,Pikachu_23sun
2023/04/04,pm26.cSPRING_2023,Pikachu_23s
2018/12/06,pm27,Sandshrew
2018/12/06,pm28,Sandshrew
2019/06/28,pm27.fALOLA,Sandshrew_61
2019/06/28,pm28.fALOLA,Sandshrew_61
2018/10/11,pm29,Nidoran_Female
2018/10/11,pm30,Nidoran_Female
2018/10/11,pm31,Nidoran_Female
2019/07/04,pm32,Nidoran_Male
2019/07/04,pm33,Nidoran_Male
2020/03/01,pm33.cJAN_2020_NOEVOLVE,Nidoran_Male_11
2019/07/04,pm34,Nidoran_Male
2019/02/13,pm35,Clefairy
2019/02/13,pm36,Clefairy
2020/10/09,pm37,Vulpix
2020/10/09,pm38,Vulpix
2019/06/28,pm37.fALOLA,Vulpix_61
2019/06/28,pm38.fALOLA,Vulpix_61
2022/10/27,pm37.cFALL_2022,Vulpix_2022
2022/10/27,pm38.cFALL_2022,Vulpix_2022
2019/04/16,pm39,Jigglypuff
2019/04/16,pm40,Jigglypuff
2019/07/25,pm41,Zubat
2019/07/25,pm42,Zubat
2019/10/03,pm43,Oddish
2019/10/03,pm44,Oddish
2019/10/03,pm45,Oddish
2021/02/20,pm46,Paras
2021/02/20,pm47,Paras
2020/05/01,pm48,Venonat
2020/05/01,pm49,Venonat
2019/04/29,pm50,Diglett
2019/04/29,pm51,Diglett
2019/06/28,pm50.fALOLA,Diglett_61
2019/06/28,pm51.fALOLA,Diglett_61
2022/09/27,pm50.cFALL_2022,Diglett_22n
2022/09/27,pm51.cFALL_2022,Diglett_22n
2019/11/07,pm52,Meowth
2019/11/07,pm53,Meowth
2019/06/28,pm52.fALOLA,Meowth_61
2019/06/28,pm53.fALOLA,Meowth_61
2021/08/20,pm52.fGALARIAN,Meowth_31
2021/08/20,pm863,Meowth_31
2019/01/25,pm54,Psyduck
2019/01/25,pm55,Psyduck
2019/03/05,pm56,Mankey
2019/03/05,pm57,Mankey
2018/09/01,pm58,Growlithe
2018/09/01,pm59,Growlithe
2019/08/06,pm60,Poliwag
2019/08/06,pm61,Poliwag
2019/08/06,pm62,Poliwag
2019/06/13,pm63,Abra
